id,created_at,user_id,movie_title,action,reason,genre,timestamp
46,2026-07-24 04:42:40.541477+00,guest,(session),shown,6,Thriller,2026-07-24 04:42:39.911865+00
47,2026-07-24 04:44:52.015995+00,guest,(session),shown,6,Thriller,2026-07-24 04:44:51.886722+00
48,2026-07-24 04:45:20.623946+00,guest,Furious 7,accept,28.53,Thriller,2026-07-24 04:45:20.420747+00
49,2026-07-24 04:45:27.18565+00,guest,Dhurandhar,accept,34.66,Thriller,2026-07-24 04:45:26.545974+00
50,2026-07-24 04:45:41.324462+00,guest,(session),rate,4,Thriller,2026-07-24 04:45:41.131273+00
51,2026-07-24 04:46:12.871943+00,guest,(session),shown,6,Thriller,2026-07-24 04:46:12.237442+00
52,2026-07-24 04:46:22.684134+00,guest,(session),shown,6,Thriller,2026-07-24 04:46:22.570693+00
53,2026-07-24 04:47:37.537775+00,guest,xXx,reject,other,Thriller,2026-07-24 04:47:36.907886+00
54,2026-07-24 04:47:42.742954+00,guest,Jaws,accept,80.03,Thriller,2026-07-24 04:47:42.598602+00
55,2026-07-24 04:47:48.035778+00,guest,Dawn of the Planet of the Apes,accept,85.33,Thriller,2026-07-24 04:47:47.904633+00
56,2026-07-24 04:47:55.142865+00,guest,The Conjuring: The Devil Made Me Do It,accept,92.37,Thriller,2026-07-24 04:47:54.94465+00
57,2026-07-24 04:47:59.607888+00,guest,(session),rate,4,Thriller,2026-07-24 04:47:59.486618+00
58,2026-07-24 04:48:55.138459+00,guest,(session),shown,6,Thriller,2026-07-24 04:48:55.008318+00
59,2026-07-24 04:49:08.019071+00,guest,The Batman,reject,mood_mismatch,Thriller,2026-07-24 04:49:07.901239+00
60,2026-07-24 04:49:37.48261+00,guest,(session),rate,3,Thriller,2026-07-24 04:49:37.303046+00
61,2026-07-24 05:05:12.246407+00,guest,(session),shown,6,Comedy,2026-07-24 05:05:11.579323+00
62,2026-07-24 05:05:24.846776+00,guest,(session),rate,5,Comedy,2026-07-24 05:05:24.156095+00
63,2026-07-24 10:13:29.282356+00,guest,(session),shown,6,Drama,2026-07-24 10:13:29.092524+00
64,2026-07-24 10:14:09.48296+00,guest,Interstellar,accept,40.23,Drama,2026-07-24 10:14:09.322892+00
65,2026-07-24 10:14:33.574674+00,guest,The Punisher: One Last Kill,accept,64.2,Drama,2026-07-24 10:14:33.293027+00
66,2026-07-24 10:14:59.556017+00,guest,Heartstopper Forever,reject,mood_mismatch,Drama,2026-07-24 10:14:58.830316+00
67,2026-07-24 10:15:11.307461+00,guest,(session),rate,4,Drama,2026-07-24 10:15:10.567555+00
68,2026-07-24 10:16:56.155939+00,guest,(session),shown,6,Drama,2026-07-24 10:16:55.941736+00
69,2026-07-24 10:17:20.694141+00,guest,Blade Runner 2049,accept,24.12,Drama,2026-07-24 10:17:20.061285+00
70,2026-07-24 10:17:26.628913+00,guest,The Lion King,accept,30.56,Drama,2026-07-24 10:17:26.50228+00
71,2026-07-24 10:17:48.788098+00,guest,Inside Out,accept,52.66,Drama,2026-07-24 10:17:48.604942+00
72,2026-07-24 10:18:31.299098+00,guest,Blade Runner 2049,accept,95.18,Drama,2026-07-24 10:18:31.118065+00
73,2026-07-24 10:21:38.461264+00,guest,(session),shown,6,Animation,2026-07-24 10:21:38.2828+00
74,2026-07-24 10:21:41.678085+00,guest,(session),shown,6,Horror,2026-07-24 10:21:41.55467+00
75,2026-07-24 10:22:00.513884+00,guest,(session),rate,4,Animation,2026-07-24 10:22:00.311453+00
76,2026-07-24 10:22:39.902357+00,guest,The Conjuring: The Devil Made Me Do It,accept,58.16,Horror,2026-07-24 10:22:39.713041+00
77,2026-07-24 10:22:58.93538+00,guest,The Black Phone,accept,77.23,Horror,2026-07-24 10:22:58.780981+00
78,2026-07-24 10:23:46.04796+00,guest,(session),rate,4,Horror,2026-07-24 10:23:45.852668+00
79,2026-07-24 10:24:27.789421+00,guest,(session),shown,6,Comedy,2026-07-24 10:24:27.653797+00
80,2026-07-24 10:24:28.070669+00,guest,(session),rate,4,Comedy,2026-07-24 10:24:27.948731+00
81,2026-07-24 10:24:34.836943+00,guest,Ticket to Paradise,accept,6.56,Comedy,2026-07-24 10:24:34.211884+00
82,2026-07-24 10:25:05.274684+00,guest,Kung Fu Panda,accept,37.32,Comedy,2026-07-24 10:25:04.974378+00
83,2026-07-24 10:25:47.634764+00,guest,(session),shown,6,Documentary,2026-07-24 10:25:47.508925+00
84,2026-07-24 10:26:20.188056+00,guest,(session),shown,6,Thriller,2026-07-24 10:26:20.06544+00
85,2026-07-24 10:26:27.819428+00,guest,(session),rate,4,Documentary,2026-07-24 10:26:27.659575+00
86,2026-07-24 10:26:51.007741+00,guest,(session),shown,6,Thriller,2026-07-24 10:26:50.821806+00
87,2026-07-24 10:27:05.386338+00,guest,(session),shown,6,Comedy,2026-07-24 10:27:05.264478+00
88,2026-07-24 10:27:24.099442+00,guest,(session),shown,6,Drama,2026-07-24 10:27:23.934582+00
89,2026-07-24 10:27:29.526434+00,guest,Kung Fu Panda 3,accept,24.11,Comedy,2026-07-24 10:27:29.37179+00
90,2026-07-24 10:28:05.453617+00,guest,(session),shown,6,Adventure,2026-07-24 10:28:05.314523+00
91,2026-07-24 10:29:04.159489+00,guest,(session),shown,6,Action,2026-07-24 10:29:04.032184+00
92,2026-07-24 10:29:30.090906+00,guest,(session),shown,6,Action,2026-07-24 10:29:29.971714+00
